"Address Autosuggestion Restrictions","Address Autosuggestion Restrictions"
"Please use the field if you need to show only specific countries in the list of offered addresses for the 'Current Location' field on the Store locator's page.
                            Please mind that Google Service allows to choose no more than 5 countries (you can find more information <a href=""https://developers.google.com/maps/documentation/javascript/places-autocomplete#add_autocomplete"" target=""_blank"">here</a>).
                            Or leave the field blank to show all possible countries in the list of offered addresses.","Please use the field if you need to show only specific countries in the list of offered addresses for the 'Current Location' field on the Store locator's page.
                            Please mind that Google Service allows to choose no more than 5 countries (you can find more information <a href=""https://developers.google.com/maps/documentation/javascript/places-autocomplete#add_autocomplete"" target=""_blank"">here</a>).
                            Or leave the field blank to show all possible countries in the list of offered addresses."
"General Visual Settings","General Visual Settings"
"Distance Units","Distance Units"
"Radius Type","Radius Type"
"Minimum Value for Radius Range","Minimum Value for Radius Range"
"Maximum Value for Radius Range","Maximum Value for Radius Range"
"If you would like to use other search radius, you may list them above, separated with comma","If you would like to use other search radius, you may list them above, separated with comma"
"Google Mark Template","Google Mark Template"
"Store List Template","Store List Template"
"Sidebar Store List Visual Configuration","Sidebar Store List Visual Configuration"
"Day Off Text","Day Off Text"
"Break Time Text","Break Time Text"
"Time Format","Time Format"
"Show Distance to the Location","Show Distance to the Location"
"Collapse Locations Filter by Default","Collapse Locations Filter by Default"
"Amasty Storelocator Indexer","Amasty Storelocator Indexer"
"Amasty Storelocator indexer by locations","Amasty Storelocator indexer by locations"
"Amasty Storelocator indexer by products","Amasty Storelocator indexer by products"
"Amasty Store Locator","Amasty Store Locator"
"Show Store List On Widget","Show Store List On Widget"
"Show NearBy And Radius Filter","Show NearBy And Radius Filter"
"Automatic positioning to the nearest location","Automatic positioning to the nearest location"
"Widget Description","Widget Description"
"Enable Widget Block Wrapping","Enable Widget Block Wrapping"
"Set 'No' to disable the map block wrapping with the page content","Set 'No' to disable the map block wrapping with the page content"
"Add New Attribute","Add New Attribute"
"Delete selected items?","Delete selected items?"
ID,ID
"Input Type","Input Type"
